text,intent,sub_intent
Khai báo y tế cần khai báo những nội dung gì ?,request,contact
người nhà tôi là f1 thì phải làm sao,request,rule
tôi nên uống vitamin C như thế nào,request,healthcare
ba tôi dương tính thì phải làm sao,request,healthcare
test nhanh dương tính thì có bị covid không,request,test
nên ăn trái cây gì để bổ sung vit C,request,healthcare
nên ăn gì để bổ sung C,request,healthcare
có cần sử dụng thêm vit C không,request,healthcare
Số điện thoại của trung tâm y tế TP Thủ Đức là số nào?,request,contact
Covid la gi,request,information
tôi có cần ăn kiêng không,request,healthcare
covid 19 là gì,request,common_infor
tôi có cần kiêng gì không,request,common_infor
Số điện thoại của trung tâm y tế quận Phú Nhuận là số nào ?,request,contact
Tôi phải gọi ai để báo cáo những người thu lợi bất chính từ dịch bệnh? ,request,contact
tôi bị ho nên ăn uống gì,request,healthcare
"Tôi phát hiện những sản phẩm bảo vệ sức khoẻ là hàng giả, buôn lậu thì nên gọi ai ?",request,contact
Tôi cảm thấy sốt và đau họng ,request,diagnostic
Có những cách khai báo y tế nào?,request,contact
Chưa,ok,information
Có nên mua máy đo huyết áp,request,device
không,inform,healthcare
chăm sóc f0 tại nhà có cần máy đo huyết áp không,request,common_infor
không,inform,healthcare
Số điện thoại của trung tâm y tế quận 9 là số nào?,request,contact
Số điện thoại của trung tâm y tế quận 12 là số nào?,request,contact
"Tôi cần hộ trợ chăm sóc y tế, an sinh xã hội thì phải liên hệ ai?",request,contact
tôi bị ho đàm thì nên làm gì,request,healthcare
"Tôi cần máy oxy, bình oxy thì phải liên hệ số nào ?",request,contact
tôi bị ho đàm,request,diagnostic
Tôi có người thân qua đời vì covid có thể gọi ai để hỗ trợ không? ,request,contact
chưa,ok,information
tôi bị ho đàm thì nên làm gì,request,healthcare
tôi bị ho đàm thì nên làm gì,request,healthcare
ho đàm thì nên uống gì,request,healthcare
tôi bị sốt thì nên ăn gig,request,healthcare
Chi phí test nhanh covid là bao nhiêu,request,information
Biểu hiện cơ bản của nhiễm covid,request,symptom
biểu hiện sớm nhất của bệnh virus corona là gì,request,common_infor
bị sốt thì nên uống gì,request,healthcare
có,inform,information
tôi xông có được k,request,healthcare
tôi xông hơi được không,request,common_infor
xông hơi như thế nào,request,healthcare
xông hôi bao lâu thì được,request,healthcare
người ấm ấm thì nên làm gì,request,healthcare
nóng như sốt thì nên làm gì,request,healthcare
cần làm gì khi sốt,request,healthcare
sốt có cần uống thuốc không,request,medicine
tôi cần phải làm gì khi sốt,request,common_infor
bị đau cơ thì nên làm gì,request,healthcare
bài tập cơ là gì,request,symptom
tôi bị đau cơ thì nên làm gì,request,common_infor
mất khứu giác có hồi phục k,request,healthcare
mất khứu giác nên làm gì,request,healthcare
đau họng thì nên uống gì,request,healthcare
đau cơ thì nên ăn gig,request,healthcare
đi tiêu nhiều lần trong ngày phải làm gì,request,healthcare
thấy mệt mỏi thì nên làm j,request,healthcare
bị sổ mũi nên làm gig,request,healthcare
Thử test 2 vạch,request,information
que test có một vạch đậm một vạch nhạt có dương tính không,request,information
Pcr dương tính,inform,test
Test pcr âm tính,inform,test
làm sao để giảm khó thở,request,healthcare
làm sao để phòng ngừa khó thở,request,common_infor
Tôi có pcr dương tính là chắc chắn bị bệnh đúng không,request,test
cách tập hít thở,request,healthcare
Pcr dương tính là bị covid đúng không,request,test
cách tập hít thở như thế nào,request,common_infor
Pcr âm tính là không bị covid hả,request,test
tôi làm pcr ra âm tính là không bị bệnh đúng không,request,common_infor
Mẫu gộp là gì,request,test
gộp mẫu để làm test nhanh có được không,request,test
tập hít thở bao lâu đc,request,healthcare
tôi đứng thấy khó thở thì phải làm sao,request,healthcare
tư thế nằm sấp như thế nào,request,healthcare
nằm đầu cao,request,healthcare
tư thế nằm đầu cao như thế nào,request,common_infor
nằm nghiêng,request,healthcare
tư thế nằm nghiêng như thế nào,request,common_infor
làm sao để khạc đàm,request,healthcare
tôi hay bị đàm làm sao để khạc ra,request,common_infor
tống đàm ntn,request,healthcare
vận động tại giường,inform,information
rèn sức bền có những cách nào,request,healthcare
rèn luyện sức bền có những phương pháp nào,request,common_infor
ấn lưng xuống giường,request,common_infor
làm sao để giwux tâm lí bình tĩnh,request,healthcare
tôi hay lo lắng phải làm s,request,healthcare
tôi hay căng thẳng,request,healthcare
tôi hay bị căng thẳng thì phải làm sao,request,common_infor
stress phải làm gì,request,healthcare
tôi hay bị stress thì phải làm sao,request,common_infor
thiền có ích k,request,healthcare
thiền có lợi ích gì tác hại gì,request,common_infor
cách thiền,request,healthcare
cách thiền như thế nào,request,common_infor
khó khăn khi làm việc buồn,request,healthcare
tôi cảm thấy khó khăn khi làm việc buồn lo lắng thì phải làm sao,request,common_infor
khó ngủ phải làm gì,request,healthcare
tôi không ngủ được thì phải làm sao,request,common_infor
tôi thấy tuyệt vọng,request,diagnostic
tôi thấy lo sợ phải làm s,request,healthcare
tôi có ý định tự sát,request,information
tôi có ý định tự sát phải làm s,request,information
Tôi bị mất vị giác,request,diagnostic
Tôi bị mất vị giác,request,diagnostic
Bị mất vị giác thì có bị covid không,request,diagnostic
có,inform,information
Tôi bị mất vị giác,request,diagnostic
Có những loại khẩu trang gì,request,device
Bị covid nên dùng khẩu trang nào,request,prevention
có những loại khẩu trang nào,request,common_infor
Nên dùng loại khẩu trang gì,request,prevention
có những loại khẩu trang nào,request,common_infor
Khẩu trang y tế là gì,request,prevention
cách đeo khẩu trang y tế,request,common_infor
Bị covid nên dùng khẩu trang nào,request,prevention
tôi mang khẩu trang thì có bị nhiễm covid không,request,common_infor
Khẩu trang vải,request,device
Khẩu trang y tế,request,prevention
khi nào cần thay khẩu trang y tế,request,common_infor
Cách đeo khẩu trang y tế,request,prevention
Có nên dùng khẩu trang vải,request,device
khẩu trang vải có giặt được không,request,common_infor
Khẩu trang N95,request,device
Có nên mua khẩu trang n95,request,device
khẩu trang n95 là gì,request,common_infor
alo,hello,information
số ca nhiễm ở bình định,request,current_number
tui mới ở nước ngoài về thì có nguy cơ nhiễm bệnh ko,request,information
tôi vừa ở nước ngoài về thì có phải cách ly không,request,common_infor
mình bị ho có sao k,request,diagnostic
chưa á,ok,information
ko,inform,healthcare
là sao,request,information
không,inform,healthcare
chỉ thị 16 vs chỉ thị 15 khác nhau ntn,request,information
corona bắt đầu từ đâu,request,information
dịch covid 19 bùng phát từ đâu,request,common_infor
có thuốc chữa trị ko,request,medicine
toa thuốc để điều trị covid tại nhà là gì,request,common_infor
dạ cảm ơn,ok,information
tiêm vaccine vero cell có tốt không,request,vaccine
nếu mũi 1 tôi tiêm vaccine sinopharm vero cell thì mũi 2 có thể tiêm trộn loại khác không,request,common_infor
tiêm vaccine vero cell có tốt không,request,vaccine
thiền có tốt không,request,common_infor
nên ăn trái cây gì để bổ sung vit C,request,healthcare
các bài tập giãn cơ ,request,symptom
giãn cơ có những bài tập nào,request,common_infor
giãn cơ ngực,request,common_infor
Virus corona là gì,request,information
Virus corona là gì,request,information
Virut corona là gì??,request,information
virus corona là gì,request,common_infor
Vỉut cổna là gì,request,information
Corona là gì vậy,request,prevention
virus corona là gì,request,common_infor
Covid 19 là gì,request,information
Sars cov là gì,request,information
Ncov là gì,request,information
2019 ncov là gì,request,common_infor
Covid từ đâu mà ra,request,information
dịch covid 19 bùng phát từ đâu,request,common_infor
Biến thể là gì?,request,information
Biến chủng là gì,request,information
Có những biến thể nào,request,information
Việt nam có bao nhiêu biến thể,request,information
Biến thể nào mạnh nhất,request,information
Biến thể kháng thuốc là gì,request,information
Các loại vaccine hiện nay có chống lại các chủng virus mới hay không ,request,information
Corona có lây qua da không?,request,information
Corona lây qua những đường nào?,request,information
Corona ở trong không khí được bao lâu?,request,information
virus corona có thể tồn tại bao lâu trong không khí,request,common_infor
Động vật có lây truyền cho người hay không,request,information
động vật có lây virus corona cho người không,request,common_infor
Ủ bệnh là gì vậy,request,information
ủ bệnh là gì,request,common_infor
Sau bao lâu thì phát bệnh?,request,information
nếu tôi bị nhiễm covid 19 thì sau bao lâu tôi phát bệnh,request,common_infor
Hôm nay có bao nhiêu ca nhiễm mới vậy?,request,current_number
Phú yên hôm nay có bao nhiêu ca nhiễm,request,current_number
Bao nhiêu ca trong cộng đồng?,request,current_number
Bao nhiêu ca nhập cảnh,request,current_number
Tỉnh nào nhiễm nhiều nhất,request,information
tỉnh thành phố nào có số ca nhiễm mới nhiều nhất,request,common_infor
Từ trước tới nay có bao nhiêu đợt dịch,request,information
từ trước tới nay ở việt nam có bao nhiêu đợt dịch rồi,request,common_infor
Từ trước tới nay có bao nhiêu đợt dịch rồi?,request,information
Từ trước tới nay có bao nhiêu đợt dịch,request,information
từ trước tới nay trên thế giới có bao nhiêu đợt dịch rồi,request,common_infor
Những đối tượng nào dễ bị nhiễm virut covid,request,information
những đối tượng nào dễ bị mắc bệnh hơn những người khác,request,common_infor
Tôi bị bệnh tuyến giáp có dễ mắc covid không?,request,information
tôi đang bị bệnh cao huyết áp thì có dễ bị mắc bệnh hơn không,request,common_infor
bị covid t cần mua dụng cụ gì,request,device
làm sao để mua các dụng cụ y tế,request,common_infor
cách đo huyết áp,request,device
nên đo huyết áp tư thế nào,request,common_infor
cách đo huyết áp,request,device
cách đo huyết áp như thế nào,request,common_infor
mua khẩu trang gì,request,prevention
tôi nên mua bao nhiêu khẩu trang khi chăm sóc f0 tại nhà,request,common_infor
cách đo nhiệt độ,request,device
tôi đo nhiệt độ thấy 39 độ c thì có cần uống thuốc không,request,common_infor
cách đo nhiệt độ bằng nhiệt kế điện tử,request,device
tôi không biết cách đo nhiệt độ bằng thiết kế điện tử,request,common_infor
cách đo máy oxy,request,information
tôi không biết cách sử dụng máy đo nồng độ oxy máu spo2,request,common_infor
tội bị spo2 dưới 90,request,symptom
tôi không biết cách đọc số trên máy đo spo2,request,common_infor
có nên mua găng tay,request,prevention
chăm sóc f0 tại nhà có cần găng tay y tế không,request,common_infor
khẩu trang y tế,request,prevention
khi nào cần thay khẩu trang y tế,request,common_infor
có nên dùng khẩu trang vải,request,device
khẩu trang vải là gì,request,common_infor
khi nào cần thay máy đo huyết áp,request,device
chăm sóc f0 tại nhà có cần máy đo huyết áp không,request,common_infor
hùng đựng chất thải lây nhiễm,request,information
lây nhiễm đột phá là gì,request,common_infor
Nhiệt kế thuỷ ngân,request,device
bỏ nhiệt kế thuỷ ngân vào vị trí nào,request,device
cần mua máy spo2 ở đâu,request,information
mua dụng cụ y tế ở đâu,request,common_infor
giá của máy đo huyết áp,request,device
khẩu trang y tế là gì,request,prevention
có bao nhiêu loại khẩu trang,request,device
có những loại khẩu trang nào,request,common_infor
khẩu trang pitta ,request,prevention
khẩu trang n95 là gì,request,common_infor
cách đeo khẩu trang N95,request,device
khẩu trang n95 là gì,request,common_infor
khẩu trang N95 có bao vệ tốt hơn khẩu trang y tế không,request,prevention
khẩu trang n95 có đặc điểm gì,request,common_infor
điều trị Fo như nào,request,healthcare
các nhóm thuốc điều trị tại nhà cho bệnh nhân covid 19 là gì,request,common_infor
có cần cách ly tập trung nếu bị covid,request,prevention
f0 có cách ly tập trung không,request,rule
máy đo huyết áp diện tử,request,device
cách đo huyết áp như thế nào,request,common_infor
có nên tiêm vaccin trung quố,request,vaccine
có nên tiêm vaccin trung quốc,request,vaccine
tiêm vaccin có bị sốc không,request,vaccine
tiêm vaccin có bị sốc thuốc không,request,medicine
tác dụng phụ của tiêm vaccin,request,vaccine
tác dụng phụ của vaccine khi nào thì tôi cần đến bác sĩ,request,common_infor
tiêm vaccin có bị shock phản vệ không,request,vaccine
có cần vệ sinh nhà cửa thường xuyên không,request,common_infor
đo spo2 như thế nào,request,device
đo nhiệt độ như thế nào,request,device
đặt nhiệt kế ở đâu,request,device
chăm sóc f0 tại nhà có cần nhiệt kế không,request,common_infor
khi đo nhiệt độ đặt nhiệt kế thủy ngân ở đâu,request,device
có nên mua thùng đựng chất thải,request,information
chăm sóc f0 tại nhà cần thùng đựng chất thải lấy nhiễm riêng không,request,common_infor
khẩu trang y tế 4 lớp,request,prevention
tái sử dụng khẩu trang y tế không,request,prevention
tôi giặt khẩu trang y tế để tái sử dụng thì có được không,request,common_infor
covid 19 hết chưa,inform,information
dịch covid 19 chấm dứt chưa,request,information
khi nào dịch covid hết,request,information
có nên dùng chung đồ vật người bị covid19,request,information
dùng chung dụng cụ với người bệnh covid được không,request,common_infor
có nên xịt cồn lên đồ ăn không,request,healthcare
nên mua cồn 90 hay cồn 70,request,healthcare
cách rửa tay bằng cồn,request,prevention
rửa tay bằng cái gì là tốt nhất,request,common_infor
cách rửa tay bằng cờn,request,prevention
tôi rửa tay bằng nước thì có diệt được covid không,request,common_infor
biến thể mới của covid,request,information
biến thể mới nhất là gì,request,common_infor
nên không tiêm ngừa có bị phạt không,request,vaccine
không khai báo y tế có bị phạt không,request,prevention
tôi ở nhà không đi đâu thì có cần khai báo y tế không,request,common_infor
không khai báo y tế có bị phạt không,request,prevention
tôi đi chợ có phải khai báo y tế không,request,common_infor
Tôi bị ho,request,diagnostic
Rồi,inform,information
Khai báo y tế là gì ?,request,contact
test nhanh,inform,information
âm tính,inform,information
Có những cách khai báo y tế nào?,request,contact
có,inform,information
Khai báo y tế cần khai báo những nội dung gì ?,request,contact
Khai báo y tế,request,contact
Quận 10,inform,information
"Khai báo y tế có cần khai báo trung thực, chính xác không? ",request,prevention
Đường dây nóng bộ y tế là số nào ?,request,contact
Tổng đài hỗ trợ khai báo y tế là số nào ?,request,contact
Tôi phải gọi ai để báo cáo những người thu lợi bất chính từ dịch bệnh? ,request,contact
Số điện thoại của trung tâm y tế quận Bình Thạnh là số nào?,request,contact
Số điện thoại của trung tâm y tế quận Phú Nhuận là số nào ?,request,contact
Số điện thoại của trung tâm y tế quận 7 là số nào?,request,contact
Số điện thoại của trung tâm y tế huyện Nhà Bè là số nào?,request,contact
"Tôi cần hộ trợ chăm sóc y tế, an sinh xã hội thì phải liên hệ ai?",request,contact
Tôi có người thân qua đời vì covid có thể gọi ai để hỗ trợ không? ,request,contact
Xét nhiệm covid o dau,request,information
Xét nhiệm covid 19 ở đâu,request,information
Bị covid có được di chơi không,request,diagnostic
Chưa xet nhiệm ne,request,information
không,inform,healthcare
không,inform,healthcare
Làm xét nghiệm PCR ở đâu?,request,test
Tôi muốn làm xét nghiệm Covid,request,test
Tôi có thể đến đâu làm xét nghiệm RT-PCR,request,test
Tôi làm xét nghiệm PCR ở đâu,request,test
tôi có thể đến đâu để làm xét nghiệm rt pcr,request,common_infor
Xét nghiệm covid 19 ở đâu?,request,information
tôi có thể đến đâu để làm xét nghiệm rt pcr,request,common_infor
Xét nghiệm covid ở đâu,request,test
Xét nghiệm covid 19 ở đâu,request,information
Ở đâu làm được xét nghiệm covid 19,request,information
tôi có thể đến đâu để làm xét nghiệm rt pcr,request,common_infor
Tôi nhiễm covid làm xét nghiệm ở đâu ,request,test
tôi bị nghi ngờ nhiễm coivd thì đến đâu để làm xét nghiệm kiểm tra,request,common_infor
Nghi nhiễm covid kiểm tra ở đâu,request,test
có cách gì kiểm tra tại nhà để xem có phải covid không,request,common_infor
Test dương tính,inform,test
Xét nghiệm ra dương tính,request,test
xét nghiệm pcr dương tính là bị covid đúng không,request,common_infor
Test nhanh ,inform,information
Test nhanh dương,inform,information
Đến đâu kiểm tra pcr,request,test
tôi có thể đến đâu để làm xét nghiệm rt pcr,request,common_infor
Test nhanh dương tính,inform,test
Test nhanh dương tính thì có bị covid không?,request,test
Que test nhanh 2 vạch,request,information
que test 2 vạch là sao,request,information
Kit test nhanh,request,test
những loại kit test nhanh nào đủ tiêu chuẩn được bộ y tế công nhận,request,test
Đồng nghiệp tôi mắc covid 19,request,information
Người làm chung cơ quan tôi bị covid,request,diagnostic
Cơ quan tôi có người kqwcs covid,request,diagnostic
Cơ quan tôi có người mắc covid,request,diagnostic
Tôi nói chuyện với người mắc covid,request,information
Đi cùng ô tô có người mắc covid,request,information
Đi cùng ô tô có người mắc Covid,request,information
Tôi vừa di chuyển với một người mắc covid có nghĩa tôi cũng bị covid ,request,diagnostic
Rồi,inform,information
test nhanh,inform,information
dương tính,inform,test
Tôi đang ở nơi gọi là vùng dịch tễ có phải tôi bị nhiễm Covid rồi không,request,contact
5,inform,information
Tôi đang ở vùng dịch tễ,request,information
vùng nào được gọi là vùng dịch tễ,request,common_infor
Ở vùng dịch tễ thì chắc chắn mắc covid hả?,request,information
Tôi đang ở vùng dịch trẽ thì chắc chắn tôi bị mắc Covid hả?,request,diagnostic
Tôi mới nói chuyện với người bị covid ,request,information
tôi nói chuyện với người nghi nhiễm covid 19 thì có phải cách ly không,request,common_infor
Tôi mới nói chuyện với người bị covid thì có nguy cơ bị covid không?,request,diagnostic
hi,hello,information
xin cha,request,vaccine
xin chao,hello,vaccine
vắc xin ngừa covid 19 có chứa microchip không,request,vaccine
alo,hello,information
số ca nhiễm nhiu á,request,current_number
al,other,information
số ca nhiễm>,request,current_number
tôi bị ho thì có nguy cơ nhiễm covid không,request,diagnostic
rồi,inform,information
test nhanh,inform,information
âm tính,inform,information
có,inform,information
vậy tôi muốn liên hệ với bác sĩ thì số nào,request,contact
quận 3,inform,information
tôi không biết cách sử dụng máy đo nồng độ oxy máu như thế nào,request,device
alo,hello,information
 tôi không biết cách sử dụng máy đo nồng độ oxy máu như thế nào,request,device
đo spo2 như thế nào,request,device
khai báo y tế là gì,request,contact
đường dây nóng để phản hồi covid,request,contact
số điện thoại trung tâm y tế quận bình thạnh,request,contact
19,inform,information
covid 19 là gì,request,information
cách đo huyết áp như thế nào,request,device
cách đo,request,device
covid 19 là gì,request,information
khai báo y tế là gì,request,contact
số điện thoại trung tâm y tế quận bình thạnh,request,contact
đo spo2 như thế nào,request,device
khai báo y tế là gì,request,contact
"tôi cảm thấy tuyệt vọng, bất lực, rất lo sợ, không thể thoát ra được thì phải làm sao",request,healthcare
tôi cảm thấy tuyệt vọng,request,diagnostic
"tôi có ý tưởng hoang đường, tôi có ý nghĩ tự sát thì làm sao",request,healthcare
"tôi có ý tưởng hoang đường, tôi có ý nghĩ tự sát thì phải làm sao",request,healthcare
tôi bị ho đàm thì nên làm gì,request,healthcare
tôi bị ho đàm thì nên làm gì?,request,healthcare
tôi bị ho đàm thì nên uống gì?,request,healthcare
tôi nên uống bao nhiêu nước một ngày,request,current_number
tôi cần làm gì tăng sức đề kháng,request,healthcare
tôi có cần sử dụng thêm vitamin C không,request,healthcare
có những tư thế nào giảm khó thở,request,healthcare
có tư thế nào giảm khó thở,request,healthcare
tôi nằm thấy khó thở thì phải làm sao,request,healthcare
khó thở thì phải làm gì,request,healthcare
giãn cơ cánh tay,inform,prevention
cách điều trị triệu chứng nhẹ sau tiêm,request,vaccine
cách điều trị triệu chứng nhẹ sau tiêm,request,vaccine
cách điều trị triệu chứng nhẹ đau vai đỏ tại chỗ tiêm sốt nhẹ mệt mỏi đau đầu đau cơ sau tiêm,request,common_infor
tôi bị đau vai sau tiêm vaccin,request,vaccine
tôi bị sốt sau tiêm vaccin,request,vaccine
tôi cần làm gì sau tiêm vaccine,request,common_infor
triệu chứng nhẹ thường gặp sau tiêm vaccine,request,vaccine
các triệu chứng nhiễm covid mức độ nhẹ,request,symptom
các triệu chứng nhiễm covid mức độ nhẹ,request,symptom
sốt là gì,request,symptom
tần suất bị ho,request,symptom
tần suất bị ho trên người mắc covid 19 là bao nhiêu,request,common_infor
tôi nên làm gì nếu mất khứu giác,request,healthcare
các bệnh nền,request,information
các bệnh nền và yếu tố nguy cơ lây nhiễm covid 19 là gì,request,common_infor
nhịp tim bình thường ,request,current_number
nhịp tim bình thường là bao nhiêu,request,current_number
nhịp tim bình thường là bao nhiêu,request,current_number
Nhịp tim bình thường là bao nhiêu?,request,current_number
Nhịp thở bình thường là bao nhiêu,request,symptom
khi nào spo2 thấp,request,symptom
spo2 bao nhiêu là thấp,request,common_infor
liều lượng sử dụng para,request,medicine
liều lương sử dụng paracetamol là bao nhiêu,request,common_infor
các nhóm thuốc,request,medicine
các nhóm thuốc điều trị tại nhà cho bệnh nhân covid 19 là gì,request,common_infor
spo2 bao nhiêu là thấp,request,symptom
những xét nghiệm hậu covid,request,test
những xét nghiệm kiểm tra sức khỏe hậu covid là gì,request,test
sau khi nhiễm covid tôi hay căng thẳng,request,healthcare
sau khi nhiễm covid tôi hay stress tôi cần làm gì,request,common_infor
tôi có thể đến đâu để xét nghiệm,request,test
tôi có thể đến đâu để làm xét nghiệm rt pcr,request,common_infor
test nhanh dương tính thì có bị covid không,request,test
test nhanh dương tính,inform,test
covid 19 là gì,request,information
covid 19 là gì,request,information
cách sử dụng máy đo spo2,request,information
tôi không biết cách sử dụng máy đo nồng độ oxy máu spo2,request,common_infor
đo spo2 như thế nào,request,device
tôi bị ho phải làm sao,request,diagnostic
tôi bị ho thì nên uống gì,request,healthcare
tôi bị ho thì nên uống gì,request,healthcare
tôi bị ho thì nên làm gì,request,healthcare
tôi bị ho đàm thì nên làm gì,request,healthcare
tôi bị ho có bị covid không?,request,diagnostic
khai báo y tế là gì,request,contact
rồi á,inform,information
RT-PCR,inform,test
dương tính,inform,test
có những tư thế nào giảm khó thở,request,healthcare
tư thế nằm,request,healthcare
cách khạc đàm,request,healthcare
khạc đàm như thế nào,request,common_infor
đường dây nóng để phản hồi về covid là số nào,request,contact
quận 1,inform,information
tôi bị ho có sao ko,request,diagnostic
paiPAI,other,information
HHGF,other,information
TEST NHANH DƯƠNG TÍNH LÀM SOA,inform,test
TEST NHANH DƯƠNG TÍNH LÀM SAO,request,information
TEST NHANH DƯƠNG TÍNH ?,inform,test
Sau khi tiêm vaccine tôi có bị nhiễm không,request,vaccine
Alo,hello,information
Sau khi tiêm vaccine tôi có bị nhiễm covid không,request,vaccine
Tiêm vaccine có bị nhiễm bệnh không,request,vaccine
sau khi tiêm vaccine tôi có bị nhiễm covid không,request,common_infor
Tiêm vaccine có gây nhiễm bệnh,request,vaccine
Tiêm vaccine có gây nhiễm covid,request,vaccine
Tiêm mũi 2 astrazeneca đau bao lâu,request,vaccine
nếu mũi 1 tôi tiêm astrazeneca thì mũi 2 tiêm cách mũi 1 bao lâu,request,common_infor
Tiêm mũi. 2 pfizer sau bao lâu,request,vaccine
nếu mũi 1 tôi tiêm pfizer comirnaty thì mũi 2 tiêm cách mũi 1 bao lâu,request,common_infor
Có thể tiêm trộn loại không,request,vaccine
nếu mũi 1 tôi tiêm vaccine astrazeneca thì mũi 2 có thể tiêm trộn loại khác không,request,common_infor
sau khi tiêm vaccine tôi có bị nhiễm covid không,request,vaccine
Khai báo y tế là gì,request,contact
Đường dây nóng để phản hồi về covid là số nào,request,contact
Đường dây nóng để phản hồi về covid là số nào ,request,contact
"Khai báo y tế có cần khai báo trung thực, chính xác không? ",request,prevention
khi nào tôi cần khai báo y tế,request,common_infor
Số điện thoại của trung tâm y tế bình thạnh ,request,contact
"Khai báo y tế có cần khai báo trung  thực, chính xác không?",request,prevention
Số điện thoại của trung tâm y tế bình thạnh,request,contact
"Khai báo y tế có cần khai báo trung thực, chính xác không? ",request,prevention
Số điện thoại trung tâm y tế bình thạnh ,request,contact
Khai báo y tế là gì ,request,contact
